REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/06/01 00:30,8031.98333,29.47,TRADE
NSW1,1999/06/01 01:00,7914.45833,25.56,TRADE
NSW1,1999/06/01 01:30,7639.79667,26.61,TRADE
NSW1,1999/06/01 02:00,7284.195,20.77,TRADE
NSW1,1999/06/01 02:30,6839.52167,16.96,TRADE
NSW1,1999/06/01 03:00,6533.93333,16.47,TRADE
NSW1,1999/06/01 03:30,6236.76667,14.48,TRADE
NSW1,1999/06/01 04:00,6059.99,11.37,TRADE
NSW1,1999/06/01 04:30,5932.28167,10.76,TRADE
NSW1,1999/06/01 05:00,5985.73167,13.71,TRADE
NSW1,1999/06/01 05:30,6225.04167,14.49,TRADE
NSW1,1999/06/01 06:00,6654.055,17.2,TRADE
NSW1,1999/06/01 06:30,7363.715,19.9,TRADE
NSW1,1999/06/01 07:00,8169.315,20.18,TRADE
NSW1,1999/06/01 07:30,8162.67,21.04,TRADE
NSW1,1999/06/01 08:00,8684.22833,28.01,TRADE
NSW1,1999/06/01 08:30,8758.67,27.86,TRADE
NSW1,1999/06/01 09:00,8610.10833,23.66,TRADE
NSW1,1999/06/01 09:30,8880.96833,36.91,TRADE
NSW1,1999/06/01 10:00,8934.31,38.78,TRADE
NSW1,1999/06/01 10:30,8783.125,30.69,TRADE
NSW1,1999/06/01 11:00,8629.04,34.82,TRADE
NSW1,1999/06/01 11:30,8538.16833,34.07,TRADE
NSW1,1999/06/01 12:00,8515.08,30.34,TRADE
NSW1,1999/06/01 12:30,8429.14667,28.69,TRADE
NSW1,1999/06/01 13:00,8360.45333,25.44,TRADE
NSW1,1999/06/01 13:30,8323.01667,29.45,TRADE
NSW1,1999/06/01 14:00,8277.915,31.37,TRADE
NSW1,1999/06/01 14:30,8265.79667,32.52,TRADE
NSW1,1999/06/01 15:00,8148.52167,28.67,TRADE
NSW1,1999/06/01 15:30,8116.52,26.1,TRADE
NSW1,1999/06/01 16:00,8203.08667,21.24,TRADE
NSW1,1999/06/01 16:30,8316.76,18.22,TRADE
NSW1,1999/06/01 17:00,8672.28667,25.47,TRADE
NSW1,1999/06/01 17:30,9357.83333,37.07,TRADE
NSW1,1999/06/01 18:00,9859.34,41.63,TRADE
NSW1,1999/06/01 18:30,9810.115,43.01,TRADE
NSW1,1999/06/01 19:00,9655.245,37.03,TRADE
NSW1,1999/06/01 19:30,9391.25833,31.38,TRADE
NSW1,1999/06/01 20:00,9167.63167,29.91,TRADE
NSW1,1999/06/01 20:30,9023.74333,29.57,TRADE
NSW1,1999/06/01 21:00,8914.45,31.3,TRADE
NSW1,1999/06/01 21:30,8594.915,26.71,TRADE
NSW1,1999/06/01 22:00,8354.79833,25.91,TRADE
NSW1,1999/06/01 22:30,8523.43167,22.24,TRADE
NSW1,1999/06/01 23:00,8462.71833,16.45,TRADE
NSW1,1999/06/01 23:30,8385.35333,26.34,TRADE
NSW1,1999/06/02 00:00,8324.86167,24.37,TRADE
NSW1,1999/06/02 00:30,8274.26667,25.28,TRADE
NSW1,1999/06/02 01:00,8155.515,25.44,TRADE
NSW1,1999/06/02 01:30,7965.77333,27.55,TRADE
NSW1,1999/06/02 02:00,7552.00333,24.85,TRADE
NSW1,1999/06/02 02:30,7153.905,23.8,TRADE
NSW1,1999/06/02 03:00,6764.645,17.49,TRADE
NSW1,1999/06/02 03:30,6459.445,14.28,TRADE
NSW1,1999/06/02 04:00,6253.48167,11.36,TRADE
NSW1,1999/06/02 04:30,6135.52333,12.56,TRADE
NSW1,1999/06/02 05:00,6147.86167,14.76,TRADE
NSW1,1999/06/02 05:30,6404.39667,19.16,TRADE
NSW1,1999/06/02 06:00,6734.355,18.31,TRADE
NSW1,1999/06/02 06:30,7508.02,25.78,TRADE
NSW1,1999/06/02 07:00,8327.74333,29.6,TRADE
NSW1,1999/06/02 07:30,8351.59833,30.21,TRADE
NSW1,1999/06/02 08:00,8866.23333,43.05,TRADE
NSW1,1999/06/02 08:30,8945.73,45.16,TRADE
NSW1,1999/06/02 09:00,8751.17333,44.72,TRADE
NSW1,1999/06/02 09:30,8950.45667,45.22,TRADE
NSW1,1999/06/02 10:00,8956.18333,45.04,TRADE
NSW1,1999/06/02 10:30,8816.10833,38.08,TRADE
NSW1,1999/06/02 11:00,8652.04,31.38,TRADE
NSW1,1999/06/02 11:30,8534.56667,36.41,TRADE
NSW1,1999/06/02 12:00,8422.57667,32.26,TRADE
NSW1,1999/06/02 12:30,8393.36667,30.31,TRADE
NSW1,1999/06/02 13:00,8316.89333,30.98,TRADE
NSW1,1999/06/02 13:30,8262.19167,42.94,TRADE
NSW1,1999/06/02 14:00,8164.52833,41.31,TRADE
NSW1,1999/06/02 14:30,8138.18167,37.08,TRADE
NSW1,1999/06/02 15:00,8047.27,31.53,TRADE
NSW1,1999/06/02 15:30,8031.88167,34.21,TRADE
NSW1,1999/06/02 16:00,8109.21,28.38,TRADE
NSW1,1999/06/02 16:30,8302.25,29.35,TRADE
NSW1,1999/06/02 17:00,8666.00333,30.81,TRADE
NSW1,1999/06/02 17:30,9351.43833,35.89,TRADE
NSW1,1999/06/02 18:00,9700.42833,42.67,TRADE
NSW1,1999/06/02 18:30,9633.02833,48.56,TRADE
NSW1,1999/06/02 19:00,9504.02,41.49,TRADE
NSW1,1999/06/02 19:30,9201.53333,33.03,TRADE
NSW1,1999/06/02 20:00,9025.34,36.97,TRADE
NSW1,1999/06/02 20:30,8873.97667,31.69,TRADE
NSW1,1999/06/02 21:00,8686.5,28.82,TRADE
NSW1,1999/06/02 21:30,8386.745,29.66,TRADE
NSW1,1999/06/02 22:00,8088.44167,27.34,TRADE
NSW1,1999/06/02 22:30,8329.265,22.84,TRADE
NSW1,1999/06/02 23:00,8266.815,20.1,TRADE
NSW1,1999/06/02 23:30,8282.96333,28.07,TRADE
NSW1,1999/06/03 00:00,8240.98,28.68,TRADE
NSW1,1999/06/03 00:30,8145.685,28.7,TRADE
NSW1,1999/06/03 01:00,8021.02833,27.77,TRADE
NSW1,1999/06/03 01:30,7835.87333,30.27,TRADE
NSW1,1999/06/03 02:00,7487.09833,28.14,TRADE
NSW1,1999/06/03 02:30,7034.65167,25.09,TRADE
NSW1,1999/06/03 03:00,6739.455,23.12,TRADE
NSW1,1999/06/03 03:30,6386.64,18.32,TRADE
NSW1,1999/06/03 04:00,6197.40333,14.54,TRADE
NSW1,1999/06/03 04:30,6080.54167,17.23,TRADE
NSW1,1999/06/03 05:00,6098.46167,14.31,TRADE
NSW1,1999/06/03 05:30,6320.32833,11.95,TRADE
NSW1,1999/06/03 06:00,6662.32167,17.23,TRADE
NSW1,1999/06/03 06:30,7415.00333,23.52,TRADE
NSW1,1999/06/03 07:00,8205.90667,25.66,TRADE
NSW1,1999/06/03 07:30,8359.63333,28.81,TRADE
NSW1,1999/06/03 08:00,8898.74333,41.72,TRADE
NSW1,1999/06/03 08:30,9043.20833,50.77,TRADE
NSW1,1999/06/03 09:00,8939.815,53.1,TRADE
NSW1,1999/06/03 09:30,9164.03,53.07,TRADE
NSW1,1999/06/03 10:00,9180.57833,35.98,TRADE
NSW1,1999/06/03 10:30,9032.79,34.37,TRADE
NSW1,1999/06/03 11:00,8895.51667,38.86,TRADE
NSW1,1999/06/03 11:30,8804.89333,37.86,TRADE
NSW1,1999/06/03 12:00,8754.26,42.82,TRADE
NSW1,1999/06/03 12:30,8635.34833,41.63,TRADE
NSW1,1999/06/03 13:00,8535.61167,37.99,TRADE
NSW1,1999/06/03 13:30,8500.99667,38.04,TRADE
NSW1,1999/06/03 14:00,8429.53667,36.64,TRADE
NSW1,1999/06/03 14:30,8414.6,36.72,TRADE
NSW1,1999/06/03 15:00,8294.81667,33.14,TRADE
NSW1,1999/06/03 15:30,8250.32167,31.51,TRADE
NSW1,1999/06/03 16:00,8349.07667,32.48,TRADE
NSW1,1999/06/03 16:30,8531.72,30.38,TRADE
NSW1,1999/06/03 17:00,8929.36667,36.5,TRADE
NSW1,1999/06/03 17:30,9495.97,42.46,TRADE
NSW1,1999/06/03 18:00,9936.68167,90.14,TRADE
NSW1,1999/06/03 18:30,9899.97667,45.91,TRADE
NSW1,1999/06/03 19:00,9813.92167,46.72,TRADE
NSW1,1999/06/03 19:30,9537.42333,34.11,TRADE
NSW1,1999/06/03 20:00,9366.71,30.93,TRADE
NSW1,1999/06/03 20:30,9196.32,29.67,TRADE
NSW1,1999/06/03 21:00,9037.93667,37.51,TRADE
NSW1,1999/06/03 21:30,8667.515,30.72,TRADE
NSW1,1999/06/03 22:00,8338.6,29.35,TRADE
NSW1,1999/06/03 22:30,8520.79667,24.29,TRADE
NSW1,1999/06/03 23:00,8547.17,23.88,TRADE
NSW1,1999/06/03 23:30,8501.73833,29.72,TRADE
NSW1,1999/06/04 00:00,8484.02,29.31,TRADE
NSW1,1999/06/04 00:30,8269.67167,28.43,TRADE
NSW1,1999/06/04 01:00,8133.985,26.99,TRADE
NSW1,1999/06/04 01:30,7931.18,29.79,TRADE
NSW1,1999/06/04 02:00,7562.09833,27.63,TRADE
NSW1,1999/06/04 02:30,7107.555,23.54,TRADE
NSW1,1999/06/04 03:00,6759.66,19.99,TRADE
NSW1,1999/06/04 03:30,6456.06833,17.04,TRADE
NSW1,1999/06/04 04:00,6220.36667,13.99,TRADE
NSW1,1999/06/04 04:30,6159.83833,15.01,TRADE
NSW1,1999/06/04 05:00,6176.26667,14.64,TRADE
NSW1,1999/06/04 05:30,6389.225,18.2,TRADE
NSW1,1999/06/04 06:00,6773.15833,19.24,TRADE
NSW1,1999/06/04 06:30,7502.67333,25.25,TRADE
NSW1,1999/06/04 07:00,8305.20167,26.04,TRADE
NSW1,1999/06/04 07:30,8398.38833,28.47,TRADE
NSW1,1999/06/04 08:00,8915.57333,35.36,TRADE
NSW1,1999/06/04 08:30,9019.485,36.19,TRADE
NSW1,1999/06/04 09:00,8971.66333,38.3,TRADE
NSW1,1999/06/04 09:30,9177.28333,41.45,TRADE
NSW1,1999/06/04 10:00,9280.71667,43.48,TRADE
NSW1,1999/06/04 10:30,9027.52833,37.51,TRADE
NSW1,1999/06/04 11:00,8820.01167,34.17,TRADE
NSW1,1999/06/04 11:30,8772.67833,35.98,TRADE
NSW1,1999/06/04 12:00,8760.15333,36.29,TRADE
NSW1,1999/06/04 12:30,8583.125,35.95,TRADE
NSW1,1999/06/04 13:00,8480.85667,32.17,TRADE
NSW1,1999/06/04 13:30,8426.575,32.35,TRADE
NSW1,1999/06/04 14:00,8331.59,31.67,TRADE
NSW1,1999/06/04 14:30,8252.76333,29.93,TRADE
NSW1,1999/06/04 15:00,8214.7,28.66,TRADE
NSW1,1999/06/04 15:30,8163.89333,28.41,TRADE
NSW1,1999/06/04 16:00,8260.85667,23.89,TRADE
NSW1,1999/06/04 16:30,8450.415,24.92,TRADE
NSW1,1999/06/04 17:00,8806.345,28.76,TRADE
NSW1,1999/06/04 17:30,9272.405,33.0,TRADE
NSW1,1999/06/04 18:00,9608.76167,36.86,TRADE
NSW1,1999/06/04 18:30,9438.82667,29.12,TRADE
NSW1,1999/06/04 19:00,9345.93167,24.84,TRADE
NSW1,1999/06/04 19:30,9004.89333,18.11,TRADE
NSW1,1999/06/04 20:00,8825.93,18.72,TRADE
NSW1,1999/06/04 20:30,8586.89,18.78,TRADE
NSW1,1999/06/04 21:00,8434.55667,16.51,TRADE
NSW1,1999/06/04 21:30,8253.945,17.81,TRADE
NSW1,1999/06/04 22:00,8022.265,19.96,TRADE
NSW1,1999/06/04 22:30,8352.25167,20.42,TRADE
NSW1,1999/06/04 23:00,8398.885,19.4,TRADE
NSW1,1999/06/04 23:30,8469.03667,26.96,TRADE
NSW1,1999/06/05 00:00,8471.91667,27.96,TRADE
NSW1,1999/06/05 00:30,8194.23167,24.75,TRADE
NSW1,1999/06/05 01:00,8076.585,24.22,TRADE
NSW1,1999/06/05 01:30,7803.05,25.6,TRADE
NSW1,1999/06/05 02:00,7424.46,21.21,TRADE
NSW1,1999/06/05 02:30,6950.115,21.38,TRADE
NSW1,1999/06/05 03:00,6559.945,22.03,TRADE
NSW1,1999/06/05 03:30,6208.30333,21.17,TRADE
NSW1,1999/06/05 04:00,6011.13667,15.56,TRADE
NSW1,1999/06/05 04:30,5809.325,14.61,TRADE
NSW1,1999/06/05 05:00,5745.19833,14.47,TRADE
NSW1,1999/06/05 05:30,5786.21833,14.66,TRADE
NSW1,1999/06/05 06:00,5908.48667,14.13,TRADE
NSW1,1999/06/05 06:30,6222.64833,15.18,TRADE
NSW1,1999/06/05 07:00,6480.33,14.82,TRADE
NSW1,1999/06/05 07:30,6776.47667,18.56,TRADE
NSW1,1999/06/05 08:00,7458.36,23.03,TRADE
NSW1,1999/06/05 08:30,7973.295,24.41,TRADE
NSW1,1999/06/05 09:00,8199.715,27.86,TRADE
NSW1,1999/06/05 09:30,8453.76833,28.17,TRADE
NSW1,1999/06/05 10:00,8432.03,28.32,TRADE
NSW1,1999/06/05 10:30,8285.405,27.86,TRADE
NSW1,1999/06/05 11:00,8117.32167,27.67,TRADE
NSW1,1999/06/05 11:30,7894.96167,30.78,TRADE
NSW1,1999/06/05 12:00,7759.17667,28.6,TRADE
NSW1,1999/06/05 12:30,7588.98667,28.08,TRADE
NSW1,1999/06/05 13:00,7427.46,23.66,TRADE
NSW1,1999/06/05 13:30,7350.63833,24.52,TRADE
NSW1,1999/06/05 14:00,7187.41,19.54,TRADE
NSW1,1999/06/05 14:30,7104.38667,18.02,TRADE
NSW1,1999/06/05 15:00,7080.68833,16.9,TRADE
NSW1,1999/06/05 15:30,6994.575,15.45,TRADE
NSW1,1999/06/05 16:00,7133.93,17.34,TRADE
NSW1,1999/06/05 16:30,7315.45333,18.0,TRADE
NSW1,1999/06/05 17:00,7775.725,23.85,TRADE
NSW1,1999/06/05 17:30,8349.73,28.27,TRADE
NSW1,1999/06/05 18:00,8884.07333,31.97,TRADE
NSW1,1999/06/05 18:30,8807.96,29.66,TRADE
NSW1,1999/06/05 19:00,8576.02667,27.27,TRADE
NSW1,1999/06/05 19:30,8297.685,26.18,TRADE
NSW1,1999/06/05 20:00,8009.89333,25.91,TRADE
NSW1,1999/06/05 20:30,7903.145,24.9,TRADE
NSW1,1999/06/05 21:00,7793.43667,23.0,TRADE
NSW1,1999/06/05 21:30,7631.87333,21.62,TRADE
NSW1,1999/06/05 22:00,7454.285,21.45,TRADE
NSW1,1999/06/05 22:30,7626.49333,22.69,TRADE
NSW1,1999/06/05 23:00,7595.33,22.03,TRADE
NSW1,1999/06/05 23:30,7609.50667,26.29,TRADE
NSW1,1999/06/06 00:00,7417.92833,24.92,TRADE
NSW1,1999/06/06 00:30,7198.425,23.44,TRADE
NSW1,1999/06/06 01:00,6831.295,16.62,TRADE
NSW1,1999/06/06 01:30,6663.22667,24.9,TRADE
NSW1,1999/06/06 02:00,6412.94167,21.24,TRADE
NSW1,1999/06/06 02:30,6091.375,18.58,TRADE
NSW1,1999/06/06 03:00,5878.65833,16.64,TRADE
NSW1,1999/06/06 03:30,5676.42167,14.88,TRADE
NSW1,1999/06/06 04:00,5536.98667,14.09,TRADE
NSW1,1999/06/06 04:30,5456.85333,10.82,TRADE
NSW1,1999/06/06 05:00,5403.55667,8.54,TRADE
NSW1,1999/06/06 05:30,5385.88,8.94,TRADE
NSW1,1999/06/06 06:00,5516.67167,12.89,TRADE
NSW1,1999/06/06 06:30,5668.34833,13.69,TRADE
NSW1,1999/06/06 07:00,5840.83,13.88,TRADE
NSW1,1999/06/06 07:30,6034.5,13.97,TRADE
NSW1,1999/06/06 08:00,6526.415,15.5,TRADE
NSW1,1999/06/06 08:30,7021.64667,18.67,TRADE
NSW1,1999/06/06 09:00,7438.95833,20.71,TRADE
NSW1,1999/06/06 09:30,7743.09833,21.31,TRADE
NSW1,1999/06/06 10:00,7881.23667,22.09,TRADE
NSW1,1999/06/06 10:30,7885.525,21.0,TRADE
NSW1,1999/06/06 11:00,7728.51833,21.52,TRADE
NSW1,1999/06/06 11:30,7604.46667,21.15,TRADE
NSW1,1999/06/06 12:00,7515.11667,21.61,TRADE
NSW1,1999/06/06 12:30,7404.385,26.72,TRADE
NSW1,1999/06/06 13:00,7269.58833,24.58,TRADE
NSW1,1999/06/06 13:30,7106.63,23.4,TRADE
NSW1,1999/06/06 14:00,7003.57167,23.37,TRADE
NSW1,1999/06/06 14:30,6943.33833,24.14,TRADE
NSW1,1999/06/06 15:00,6859.13,22.58,TRADE
NSW1,1999/06/06 15:30,6803.33833,20.2,TRADE
NSW1,1999/06/06 16:00,6967.81667,23.0,TRADE
NSW1,1999/06/06 16:30,7183.695,22.68,TRADE
NSW1,1999/06/06 17:00,7604.605,23.66,TRADE
NSW1,1999/06/06 17:30,8175.28833,28.86,TRADE
NSW1,1999/06/06 18:00,8682.65333,33.44,TRADE
NSW1,1999/06/06 18:30,8680.315,33.11,TRADE
NSW1,1999/06/06 19:00,8510.2,30.55,TRADE
NSW1,1999/06/06 19:30,8340.71,25.94,TRADE
NSW1,1999/06/06 20:00,8151.51333,28.29,TRADE
NSW1,1999/06/06 20:30,8026.23833,25.8,TRADE
NSW1,1999/06/06 21:00,7927.805,25.78,TRADE
NSW1,1999/06/06 21:30,7699.02333,26.11,TRADE
NSW1,1999/06/06 22:00,7407.375,24.95,TRADE
NSW1,1999/06/06 22:30,7476.16,25.15,TRADE
NSW1,1999/06/06 23:00,7380.52167,25.07,TRADE
NSW1,1999/06/06 23:30,7370.94833,27.36,TRADE
NSW1,1999/06/07 00:00,7213.85167,25.61,TRADE
NSW1,1999/06/07 00:30,7022.47,24.46,TRADE
NSW1,1999/06/07 01:00,6791.51,19.43,TRADE
NSW1,1999/06/07 01:30,6620.565,25.23,TRADE
NSW1,1999/06/07 02:00,6422.31167,24.41,TRADE
NSW1,1999/06/07 02:30,6182.925,18.97,TRADE
NSW1,1999/06/07 03:00,5979.06167,18.54,TRADE
NSW1,1999/06/07 03:30,5856.09,16.98,TRADE
NSW1,1999/06/07 04:00,5681.00167,14.98,TRADE
NSW1,1999/06/07 04:30,5680.77667,14.65,TRADE
NSW1,1999/06/07 05:00,5791.06,15.51,TRADE
NSW1,1999/06/07 05:30,6028.81167,20.62,TRADE
NSW1,1999/06/07 06:00,6419.115,15.61,TRADE
NSW1,1999/06/07 06:30,7128.47333,21.05,TRADE
NSW1,1999/06/07 07:00,7918.96667,28.13,TRADE
NSW1,1999/06/07 07:30,8055.44667,27.44,TRADE
NSW1,1999/06/07 08:00,8540.54167,44.16,TRADE
NSW1,1999/06/07 08:30,8711.79833,45.01,TRADE
NSW1,1999/06/07 09:00,8658.50333,48.17,TRADE
NSW1,1999/06/07 09:30,8918.80667,56.97,TRADE
NSW1,1999/06/07 10:00,9021.73833,58.0,TRADE
NSW1,1999/06/07 10:30,8917.16,47.8,TRADE
NSW1,1999/06/07 11:00,8734.15667,40.46,TRADE
NSW1,1999/06/07 11:30,8678.33333,41.45,TRADE
NSW1,1999/06/07 12:00,8570.71833,43.48,TRADE
NSW1,1999/06/07 12:30,8499.835,45.04,TRADE
NSW1,1999/06/07 13:00,8453.77,44.14,TRADE
NSW1,1999/06/07 13:30,8441.89167,49.0,TRADE
NSW1,1999/06/07 14:00,8386.96,45.78,TRADE
NSW1,1999/06/07 14:30,8363.345,50.25,TRADE
NSW1,1999/06/07 15:00,8271.05167,43.61,TRADE
NSW1,1999/06/07 15:30,8234.235,40.99,TRADE
NSW1,1999/06/07 16:00,8300.34,42.77,TRADE
NSW1,1999/06/07 16:30,8484.15333,41.25,TRADE
NSW1,1999/06/07 17:00,8848.38833,39.37,TRADE
NSW1,1999/06/07 17:30,9451.565,50.75,TRADE
NSW1,1999/06/07 18:00,9947.01167,62.45,TRADE
NSW1,1999/06/07 18:30,9858.815,61.85,TRADE
NSW1,1999/06/07 19:00,9651.61,58.36,TRADE
NSW1,1999/06/07 19:30,9288.28667,44.94,TRADE
NSW1,1999/06/07 20:00,9072.80833,40.03,TRADE
NSW1,1999/06/07 20:30,8928.47,30.69,TRADE
NSW1,1999/06/07 21:00,8802.345,30.63,TRADE
NSW1,1999/06/07 21:30,8468.82,26.69,TRADE
NSW1,1999/06/07 22:00,8174.26,25.7,TRADE
NSW1,1999/06/07 22:30,8327.445,22.48,TRADE
NSW1,1999/06/07 23:00,8305.33833,22.67,TRADE
NSW1,1999/06/07 23:30,8292.82667,29.24,TRADE
NSW1,1999/06/08 00:00,8252.875,29.69,TRADE
NSW1,1999/06/08 00:30,8128.845,28.55,TRADE
NSW1,1999/06/08 01:00,7981.24167,26.42,TRADE
NSW1,1999/06/08 01:30,7761.93167,27.63,TRADE
NSW1,1999/06/08 02:00,7398.18167,22.91,TRADE
NSW1,1999/06/08 02:30,6977.47667,22.67,TRADE
NSW1,1999/06/08 03:00,6619.795,20.64,TRADE
NSW1,1999/06/08 03:30,6325.11,20.69,TRADE
NSW1,1999/06/08 04:00,6132.48,15.79,TRADE
NSW1,1999/06/08 04:30,6030.55,14.23,TRADE
NSW1,1999/06/08 05:00,5990.93333,12.7,TRADE
NSW1,1999/06/08 05:30,6239.42167,21.03,TRADE
NSW1,1999/06/08 06:00,6656.58167,17.71,TRADE
NSW1,1999/06/08 06:30,7373.33167,22.44,TRADE
NSW1,1999/06/08 07:00,8148.315,25.07,TRADE
NSW1,1999/06/08 07:30,8313.20167,26.21,TRADE
NSW1,1999/06/08 08:00,8825.27167,40.08,TRADE
NSW1,1999/06/08 08:30,8925.50333,43.6,TRADE
NSW1,1999/06/08 09:00,8814.825,40.27,TRADE
NSW1,1999/06/08 09:30,9077.12333,44.32,TRADE
NSW1,1999/06/08 10:00,9095.11333,48.61,TRADE
NSW1,1999/06/08 10:30,8972.18333,35.35,TRADE
NSW1,1999/06/08 11:00,8778.36,32.62,TRADE
NSW1,1999/06/08 11:30,8644.55833,33.42,TRADE
NSW1,1999/06/08 12:00,8587.77833,36.58,TRADE
NSW1,1999/06/08 12:30,8474.66167,37.04,TRADE
NSW1,1999/06/08 13:00,8394.61667,38.11,TRADE
NSW1,1999/06/08 13:30,8379.37833,39.51,TRADE
NSW1,1999/06/08 14:00,8327.03333,36.11,TRADE
NSW1,1999/06/08 14:30,8249.885,35.27,TRADE
NSW1,1999/06/08 15:00,8186.865,33.33,TRADE
NSW1,1999/06/08 15:30,8190.05833,31.09,TRADE
NSW1,1999/06/08 16:00,8306.27833,30.37,TRADE
NSW1,1999/06/08 16:30,8527.775,30.37,TRADE
NSW1,1999/06/08 17:00,8948.98,31.79,TRADE
NSW1,1999/06/08 17:30,9629.41167,47.55,TRADE
NSW1,1999/06/08 18:00,9957.51,59.39,TRADE
NSW1,1999/06/08 18:30,9943.29833,63.92,TRADE
NSW1,1999/06/08 19:00,9745.63333,55.76,TRADE
NSW1,1999/06/08 19:30,9461.04333,42.5,TRADE
NSW1,1999/06/08 20:00,9246.88,36.16,TRADE
NSW1,1999/06/08 20:30,9078.41,34.04,TRADE
NSW1,1999/06/08 21:00,8914.40167,34.1,TRADE
NSW1,1999/06/08 21:30,8603.405,29.55,TRADE
NSW1,1999/06/08 22:00,8267.825,29.42,TRADE
NSW1,1999/06/08 22:30,8447.76667,24.8,TRADE
NSW1,1999/06/08 23:00,8353.465,23.35,TRADE
NSW1,1999/06/08 23:30,8336.53833,29.32,TRADE
NSW1,1999/06/09 00:00,8303.49,29.14,TRADE
NSW1,1999/06/09 00:30,8194.56167,29.27,TRADE
NSW1,1999/06/09 01:00,8080.795,28.75,TRADE
NSW1,1999/06/09 01:30,7865.745,30.68,TRADE
NSW1,1999/06/09 02:00,7436.13833,28.2,TRADE
NSW1,1999/06/09 02:30,7026.95333,25.52,TRADE
NSW1,1999/06/09 03:00,6688.52333,23.3,TRADE
NSW1,1999/06/09 03:30,6381.33333,19.36,TRADE
NSW1,1999/06/09 04:00,6173.28667,19.19,TRADE
NSW1,1999/06/09 04:30,6033.825,14.15,TRADE
NSW1,1999/06/09 05:00,6033.45333,13.96,TRADE
NSW1,1999/06/09 05:30,6229.13333,18.36,TRADE
NSW1,1999/06/09 06:00,6654.035,18.24,TRADE
NSW1,1999/06/09 06:30,7432.20667,23.3,TRADE
NSW1,1999/06/09 07:00,8192.025,24.44,TRADE
NSW1,1999/06/09 07:30,8354.76833,26.61,TRADE
NSW1,1999/06/09 08:00,8961.46,40.71,TRADE
NSW1,1999/06/09 08:30,9007.275,42.29,TRADE
NSW1,1999/06/09 09:00,8994.48833,43.79,TRADE
NSW1,1999/06/09 09:30,9274.09667,53.34,TRADE
NSW1,1999/06/09 10:00,9350.39,50.74,TRADE
NSW1,1999/06/09 10:30,9231.82667,43.29,TRADE
NSW1,1999/06/09 11:00,9085.24333,43.69,TRADE
NSW1,1999/06/09 11:30,9001.97,43.94,TRADE
NSW1,1999/06/09 12:00,8938.97667,43.35,TRADE
NSW1,1999/06/09 12:30,8922.405,44.84,TRADE
NSW1,1999/06/09 13:00,8797.265,44.68,TRADE
NSW1,1999/06/09 13:30,8768.455,44.32,TRADE
NSW1,1999/06/09 14:00,8710.39,42.18,TRADE
NSW1,1999/06/09 14:30,8700.035,48.59,TRADE
NSW1,1999/06/09 15:00,8716.98333,52.65,TRADE
NSW1,1999/06/09 15:30,8756.84,47.69,TRADE
NSW1,1999/06/09 16:00,8985.30667,42.86,TRADE
NSW1,1999/06/09 16:30,9255.15167,40.52,TRADE
NSW1,1999/06/09 17:00,9699.13667,39.58,TRADE
NSW1,1999/06/09 17:30,10069.02,47.25,TRADE
NSW1,1999/06/09 18:00,10303.21833,75.14,TRADE
NSW1,1999/06/09 18:30,10168.54667,75.32,TRADE
NSW1,1999/06/09 19:00,9930.75,47.03,TRADE
NSW1,1999/06/09 19:30,9687.2,40.28,TRADE
NSW1,1999/06/09 20:00,9441.74833,35.24,TRADE
NSW1,1999/06/09 20:30,9206.145,28.99,TRADE
NSW1,1999/06/09 21:00,9005.20667,29.62,TRADE
NSW1,1999/06/09 21:30,8779.68667,33.75,TRADE
NSW1,1999/06/09 22:00,8381.965,28.02,TRADE
NSW1,1999/06/09 22:30,8681.62333,27.12,TRADE
NSW1,1999/06/09 23:00,8588.61,24.92,TRADE
NSW1,1999/06/09 23:30,8516.65667,29.48,TRADE
NSW1,1999/06/10 00:00,8381.42167,27.03,TRADE
NSW1,1999/06/10 00:30,8209.02167,26.53,TRADE
NSW1,1999/06/10 01:00,8040.625,24.17,TRADE
NSW1,1999/06/10 01:30,7780.22167,25.48,TRADE
NSW1,1999/06/10 02:00,7422.68167,20.95,TRADE
NSW1,1999/06/10 02:30,6981.73833,21.19,TRADE
NSW1,1999/06/10 03:00,6666.74,17.62,TRADE
NSW1,1999/06/10 03:30,6282.66667,14.54,TRADE
NSW1,1999/06/10 04:00,6112.34333,13.99,TRADE
NSW1,1999/06/10 04:30,5966.71,7.68,TRADE
NSW1,1999/06/10 05:00,5956.70667,8.28,TRADE
NSW1,1999/06/10 05:30,6126.91333,10.36,TRADE
NSW1,1999/06/10 06:00,6535.055,14.15,TRADE
NSW1,1999/06/10 06:30,7219.00833,18.15,TRADE
NSW1,1999/06/10 07:00,8011.25167,18.77,TRADE
NSW1,1999/06/10 07:30,8168.36333,19.39,TRADE
NSW1,1999/06/10 08:00,8702.41,24.06,TRADE
NSW1,1999/06/10 08:30,8785.98833,24.37,TRADE
NSW1,1999/06/10 09:00,8678.885,23.76,TRADE
NSW1,1999/06/10 09:30,8962.65333,39.76,TRADE
NSW1,1999/06/10 10:00,8960.29,28.97,TRADE
NSW1,1999/06/10 10:30,8821.55667,22.28,TRADE
NSW1,1999/06/10 11:00,8604.82667,17.91,TRADE
NSW1,1999/06/10 11:30,8510.695,17.19,TRADE
NSW1,1999/06/10 12:00,8418.50167,18.79,TRADE
